,词,TFIDF
0,老区,0.012009522987014026
1,陕西,0.008070823226381895
2,战区,0.006520298684940846
3,原则,0.005474086756655893
4,奉行,0.005275737732445221
5,第四卷,0.005015560668673534
6,海巡,0.005015560668673534
7,巡航,0.005015560668673534
8,国际电信联盟,0.005015560668673534
9,马尔代夫,0.005015560668673534
10,高地,0.0049846466488930275
11,强军,0.004797159888774366
12,佩洛西,0.004616270515889568
13,反对,0.0042148677653566155
14,兴军,0.004003174329004675
15,舰艇,0.004003174329004675
16,06,0.004003174329004675
17,南非,0.004003174329004675
18,贷款,0.003997633240645305
19,民营企业,0.0039877173191144215
20,中国台湾地区,0.00362238815830047
21,领土完整,0.003612743798877099
22,空袭,0.003553163178288308
23,旅游,0.003483139665934269
24,训练,0.003410966284056042
25,2758,0.003410966284056042
26,三秦,0.0033437071124490228
27,黄土高原,0.0033437071124490228
28,金米村,0.0033437071124490228
29,木耳,0.0033437071124490228
30,丝路,0.0033437071124490228
31,深刻领会,0.0033437071124490228
32,联系实际,0.0033437071124490228
33,言论,0.0033437071124490228
34,吐鲁番,0.0033437071124490228
35,新加坡,0.0033437071124490228
36,箱梁,0.0033437071124490228
37,沈白,0.0033437071124490228
38,长白山,0.0033437071124490228
39,文化节,0.0033437071124490228
40,双奥,0.0033437071124490228
41,毛里求斯,0.0033437071124490228
42,文莱,0.0033437071124490228
43,塞拉利昂,0.0033437071124490228
44,约旦,0.0033437071124490228
45,全印,0.0033437071124490228
46,同盟,0.0033437071124490228
47,重申,0.003297336082778263
48,学习,0.0032200510333269964
49,开行,0.003198106592516244
50,台岛,0.003198106592516244
51,海军,0.003198106592516244
52,国家主权,0.0030106198323975827
53,摘帽,0.002990787989335816
54,联合作战,0.002990787989335816
55,突击,0.002990787989335816
56,课目,0.002990787989335816
57,联合国大会,0.002990787989335816
58,一贯,0.002990787989335816
59,加沙,0.002990787989335816
60,杰哈德,0.002990787989335816
61,兵力,0.002897910526640376
62,决议,0.002897910526640376
63,坚定,0.0027737653856402234
64,辽宁,0.00275414340674562
65,赋予,0.002668782886003117
66,总值,0.002668782886003117
67,航母,0.002668782886003117
68,攻防,0.002668782886003117
69,余额,0.002668782886003117
70,白鹤,0.002668782886003117
71,塞舌尔,0.002668782886003117
72,治国,0.0026648723837162307
73,理政,0.0026648723837162307
74,海上,0.0026648723837162307
75,指挥,0.0026378688662226104
76,外交部,0.0026378688662226104
77,东部,0.0025385720945188205
78,理论,0.002408495865918066
79,立场,0.002408495865918066
80,西安,0.002398579944387183
81,通知,0.002398579944387183
82,捍卫,0.002398579944387183
83,遵守,0.002398579944387183
84,以色列,0.002398579944387183
85,贵州,0.002310322674530541
86,发表声明,0.002310322674530541
87,大地,0.002273977522704028
88,马克思主义,0.002273977522704028
89,拉开帷幕,0.002273977522704028
90,指挥员,0.002273977522704028
91,命令,0.002273977522704028
92,机组,0.002273977522704028
93,投产,0.002273977522704028
94,体育,0.002273977522704028
95,台湾地区,0.002273977522704028
96,火力,0.002173432894980282
97,官兵,0.002017705806595474
98,列入,0.0019938586595572108
99,多亿元,0.0019938586595572108
100,内陆,0.0019938586595572108
101,湖南省,0.0019938586595572108
102,模拟,0.0019938586595572108
103,中老,0.0019938586595572108
104,老挝,0.0019938586595572108
105,银川,0.0019938586595572108
106,兰州,0.0019938586595572108
107,马里,0.0019938586595572108
108,一中一台,0.0019938586595572108
109,步伐,0.0019784016496669577
110,试验区,0.0019784016496669577
111,行径,0.0019784016496669577
112,尊重,0.0019784016496669577
113,铁路,0.0019350775921857053
114,政治,0.0018526329727959453
115,联合,0.0018526329727959453
116,美方,0.0018063718994385494
117,迈出,0.001776581589144154
118,改革开放,0.001776581589144154
119,领会,0.001776581589144154
120,对海,0.001776581589144154
121,葡萄,0.001776581589144154
122,水电站,0.001776581589144154
123,时速,0.001776581589144154
124,外交,0.001776581589144154
125,高铁,0.0016923813963458803
126,光荣革命,0.0016718535562245114
127,华夏,0.0016718535562245114
128,发祥地,0.0016718535562245114
129,延安精神,0.0016718535562245114
130,一代代,0.0016718535562245114
131,精神财富,0.0016718535562245114
132,幸福美满,0.0016718535562245114
133,秦巴山区,0.0016718535562245114
134,深情,0.0016718535562245114
135,地说,0.0016718535562245114
136,放在心上,0.0016718535562245114
137,465,0.0016718535562245114
138,减贫,0.0016718535562245114
139,秦岭,0.0016718535562245114
140,红枣,0.0016718535562245114
141,卡车,0.0016718535562245114
142,数控机床,0.0016718535562245114
143,科教,0.0016718535562245114
144,秦创原,0.0016718535562245114
145,榆林,0.0016718535562245114
146,国内首创,0.0016718535562245114
147,宝鸡,0.0016718535562245114
148,合同,0.0016718535562245114
149,成交额,0.0016718535562245114
150,330,0.0016718535562245114
151,2340,0.0016718535562245114
152,长安,0.0016718535562245114
153,集散中心,0.0016718535562245114
154,直达,0.0016718535562245114
155,五洲,0.0016718535562245114
156,680,0.0016718535562245114
157,复制,0.0016718535562245114
158,1.41,0.0016718535562245114
159,2.98,0.0016718535562245114
160,4757.75,0.0016718535562245114
161,5.1,0.0016718535562245114
162,4532,0.0016718535562245114
163,陕北,0.0016718535562245114
164,增绿,0.0016718535562245114
165,办公厅,0.0016718535562245114
166,第一卷,0.0016718535562245114
167,第二卷,0.0016718535562245114
168,第三卷,0.0016718535562245114
169,军委主席,0.0016718535562245114
170,负责制,0.0016718535562245114
171,听从,0.0016718535562245114
172,和习,0.0016718535562245114
173,系统学,0.0016718535562245114
174,跟进,0.0016718535562245114
175,精神实质,0.0016718535562245114
176,体悟,0.0016718535562245114
177,观点,0.0016718535562245114
178,思想体系,0.0016718535562245114
179,牢固确立,0.0016718535562245114
180,理论工作者,0.0016718535562245114
181,新闻媒体,0.0016718535562245114
182,示范带头,0.0016718535562245114
183,先学,0.0016718535562245114
184,学深,0.0016718535562245114
185,搞好,0.0016718535562245114
186,辅导,0.0016718535562245114
187,学风,0.0016718535562245114
188,实上,0.0016718535562245114
189,市州全,0.0016718535562245114
190,统揽全局,0.0016718535562245114
191,一圈,0.0016718535562245114
192,两区,0.0016718535562245114
193,舰载机,0.0016718535562245114
194,重器,0.0016718535562245114
195,问世,0.0016718535562245114
196,总产,0.0016718535562245114
197,明显改善,0.0016718535562245114
198,321,0.0016718535562245114
199,劲头,0.0016718535562245114
200,4.6,0.0016718535562245114
201,湘江,0.0016718535562245114
202,98.7%,0.0016718535562245114
203,10.6,0.0016718535562245114
204,驱逐舰,0.0016718535562245114
205,拉响,0.0016718535562245114
206,接令,0.0016718535562245114
207,操练,0.0016718535562245114
208,以东,0.0016718535562245114
209,某岸,0.0016718535562245114
210,导团,0.0016718535562245114
211,接令后,0.0016718535562245114
212,快速机动,0.0016718535562245114
213,上级,0.0016718535562245114
214,上百,0.0016718535562245114
215,观光,0.0016718535562245114
216,葡萄沟,0.0016718535562245114
217,接待量,0.0016718535562245114
218,南北疆,0.0016718535562245114
219,环游,0.0016718535562245114
220,畅览,0.0016718535562245114
221,专列,0.0016718535562245114
222,299.21,0.0016718535562245114
223,23.02%,0.0016718535562245114
224,361,0.0016718535562245114
225,275,0.0016718535562245114
226,1772,0.0016718535562245114
227,342559.3,0.0016718535562245114
228,58.2,0.0016718535562245114
229,11.4%,0.0016718535562245114
230,户数,0.0016718535562245114
231,8347,0.0016718535562245114
232,53.5%,0.0016718535562245114
233,年化,0.0016718535562245114
234,4.74%,0.0016718535562245114
235,0.57,0.0016718535562245114
236,验放,0.0016718535562245114
237,90.6,0.0016718535562245114
238,货物运输,0.0016718535562245114
239,三峡,0.0016718535562245114
240,试运行,0.0016718535562245114
241,百万千瓦,0.0016718535562245114
242,水轮,0.0016718535562245114
243,发电机组,0.0016718535562245114
244,银兰,0.0016718535562245114
245,219.976,0.0016718535562245114
246,一孔重,0.0016718535562245114
247,820,0.0016718535562245114
248,稳稳,0.0016718535562245114
249,桥墩,0.0016718535562245114
250,辽宁沈阳,0.0016718535562245114
251,430.1,0.0016718535562245114
252,列编,0.0016718535562245114
253,航程,0.0016718535562245114
254,千余家,0.0016718535562245114
255,总金额,0.0016718535562245114
256,443.75,0.0016718535562245114
257,北京奥运,0.0016718535562245114
258,铁人三项,0.0016718535562245114
259,体育运动,0.0016718535562245114
260,大本营,0.0016718535562245114
261,170,0.0016718535562245114
262,日内瓦,0.0016718535562245114
263,联大,0.0016718535562245114
264,代表权,0.0016718535562245114
265,693,0.0016718535562245114
266,拉姆,0.0016718535562245114
267,卡拉,0.0016718535562245114
268,格纳特,0.0016718535562245114
269,过渡,0.0016718535562245114
270,马伊加,0.0016718535562245114
271,一己,0.0016718535562245114
272,严重危害,0.0016718535562245114
273,维文,0.0016718535562245114
274,主管,0.0016718535562245114
275,艾瑞万,0.0016718535562245114
276,贾洛,0.0016718535562245114
277,泰勒,0.0016718535562245114
278,塞姆,0.0016718535562245114
279,艾布,0.0016718535562245114
280,福勒,0.0016718535562245114
281,副总,0.0016718535562245114
282,司长,0.0016718535562245114
283,克拉尔,0.0016718535562245114
284,吉布提,0.0016718535562245114
285,所作,0.0016718535562245114
286,马来西亚,0.0016718535562245114
287,塞浦路斯,0.0016718535562245114
288,贝宁,0.0016718535562245114
289,布基纳法索,0.0016718535562245114
290,几内亚比绍,0.0016718535562245114
291,久加诺夫,0.0016718535562245114
292,敌对,0.0016718535562245114
293,谚语,0.0016718535562245114
294,繁荣党,0.0016718535562245114
295,阿登,0.0016718535562245114
296,埃方,0.0016718535562245114
297,台湾岛,0.0016718535562245114
298,劳工,0.0016718535562245114
299,执委,0.0016718535562245114
300,菲略,0.0016718535562245114
301,冷战,0.0016718535562245114
302,险恶用心,0.0016718535562245114
303,昭然若揭,0.0016718535562245114
304,人革党,0.0016718535562245114
305,中央对外联络部,0.0016718535562245114
306,老方,0.0016718535562245114
307,印度,0.0016718535562245114
308,阿拉伯复兴社会党,0.0016718535562245114
309,爱国阵线,0.0016718535562245114
310,左翼,0.0016718535562245114
311,联合党,0.0016718535562245114
312,双方同意,0.0016718535562245114
313,诺瓦克,0.0016718535562245114
314,中以,0.0016718535562245114
315,俄对土,0.0016718535562245114
316,期限,0.0016718535562245114
317,搅动,0.0016718535562245114
318,数天,0.0016718535562245114
319,缺失,0.0016718535562245114
320,以方,0.0016718535562245114
321,百枚,0.0016718535562245114
322,如画,0.0016718535562245114
323,主权,0.0016524860440473718
324,全省,0.0016100255166634982
325,贫困县,0.001599053296258122
326,口岸,0.001599053296258122
327,国防,0.001599053296258122
328,空域,0.001599053296258122
329,实战,0.001599053296258122
330,演训,0.001599053296258122
331,采摘,0.001599053296258122
332,文旅,0.001599053296258122
333,体验,0.001599053296258122
334,全线,0.001599053296258122
335,图谋,0.001599053296258122
336,违背,0.001599053296258122
337,特色产业,0.0015132793549466053
338,建档立卡,0.001448955263320188
339,驱动,0.001448955263320188
340,贯通,0.001448955263320188
341,经济总量,0.001448955263320188
342,大国,0.001448955263320188
343,等国,0.001448955263320188
344,思想,0.001430033764319491
345,沃土,0.0013343914430015585
346,三次,0.0013343914430015585
347,每次,0.0013343914430015585
348,共商,0.0013343914430015585
349,脱贫致富,0.0013343914430015585
350,之策,0.0013343914430015585
351,整村,0.0013343914430015585
352,苹果,0.0013343914430015585
353,千亿元,0.0013343914430015585
354,世界领先,0.0013343914430015585
355,投用,0.0013343914430015585
356,13000,0.0013343914430015585
357,欧美,0.0013343914430015585
358,试点经验,0.0013343914430015585
359,利用外资,0.0013343914430015585
360,原著,0.0013343914430015585
361,原文,0.0013343914430015585
362,原理,0.0013343914430015585
363,原义,0.0013343914430015585
364,中心组,0.0013343914430015585
365,轮训,0.0013343914430015585
366,重大意义,0.0013343914430015585
367,学好,0.0013343914430015585
368,纲要,0.0013343914430015585
369,精髓,0.0013343914430015585
370,要义,0.0013343914430015585
371,评论,0.0013343914430015585
372,浓厚,0.0013343914430015585
373,一层,0.0013343914430015585
374,下功夫,0.0013343914430015585
375,练兵,0.0013343914430015585
376,923,0.0013343914430015585
377,轨道交通,0.0013343914430015585
378,民用航空,0.0013343914430015585
379,两条,0.0013343914430015585
380,名片,0.0013343914430015585
381,智造,0.0013343914430015585
382,34.5%,0.0013343914430015585
383,单产,0.0013343914430015585
384,内陆地区,0.0013343914430015585
385,优良率,0.0013343914430015585
386,682,0.0013343914430015585
387,岸导,0.0013343914430015585
388,收到,0.0013343914430015585
389,背景,0.0013343914430015585
390,锁定目标,0.0013343914430015585
391,护卫舰,0.0013343914430015585
392,灵活,0.0013343914430015585
393,占据,0.0013343914430015585
394,阵位,0.0013343914430015585
395,浙东,0.0013343914430015585
396,航空兵,0.0013343914430015585
397,数架,0.0013343914430015585
398,战斗机,0.0013343914430015585
399,随即,0.0013343914430015585
400,水面,0.0013343914430015585
401,粤东,0.0013343914430015585
402,号手,0.0013343914430015585
403,装订,0.0013343914430015585
404,推送,0.0013343914430015585
405,参数,0.0013343914430015585
406,修正,0.0013343914430015585
407,协同作战,0.0013343914430015585
408,段时间,0.0013343914430015585
409,高峰期,0.0013343914430015585
410,夏天,0.0013343914430015585
411,热度,0.0013343914430015585
412,310,0.0013343914430015585
413,343,0.0013343914430015585
414,68,0.0013343914430015585
415,银行业,0.0013343914430015585
416,72,0.0013343914430015585
417,第十,0.0013343914430015585
418,今年年底,0.0013343914430015585
419,列车运行,0.0013343914430015585
420,架设,0.0013343914430015585
421,正线,0.0013343914430015585
422,半小时,0.0013343914430015585
423,长时间,0.0013343914430015585
424,海空,0.0013343914430015585
425,搜救,0.0013343914430015585
426,巡查,0.0013343914430015585
427,新兴,0.0013343914430015585
428,体育赛事,0.0013343914430015585
429,之声,0.0013343914430015585
430,挑衅性,0.0013343914430015585
431,沙希德,0.0013343914430015585
432,合法,0.0013343914430015585
433,阿拉伯国家联盟,0.0013343914430015585
434,扎基,0.0013343914430015585
435,阿盟,0.0013343914430015585
436,理事会,0.0013343914430015585
437,无条件,0.0013343914430015585
438,私利,0.0013343914430015585
439,挑动,0.0013343914430015585
440,马方,0.0013343914430015585
441,国际事务,0.0013343914430015585
442,东盟国家,0.0013343914430015585
443,利比里亚,0.0013343914430015585
444,有违,0.0013343914430015585
445,负面影响,0.0013343914430015585
446,吉方,0.0013343914430015585
447,越南,0.0013343914430015585
448,菲律宾,0.0013343914430015585
